rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.9450692166296095,0.02614478942210222,0.9659081934116671,0.002939968346757726,0.39093799591064454,0.013008653624462425,0.018118858337402344,0.0007428554707834448,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.916757852077001,0.9681157363287982,0.9683227074060708,0.9697149387887496,0.9808419768151312,0.9617799617799618,0.9169818995322351,0.9665512943359686,0.9424416473176096,0.9633790358248563
2,0.9425068733227242,0.021099299219345603,1.0,0.0,0.401293420791626,0.007285747219079425,0.0180208683013916,0.0013134071447971883,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.916757852077001,1.0,0.9556517903684991,1.0,0.9744715447154471,1.0,0.9233148811462064,1.0,0.942338298306468,1.0
3,0.9386547742816607,0.02459080045474838,0.959844137882647,0.004311759205053144,0.3800967693328857,0.00807974351698058,0.018845796585083008,0.00199830623882814,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.9102272727272727,0.9649273099616781,0.962000962000962,0.9617256906413533,0.968069961358552,0.9522070723418028,0.9105340280039075,0.9617656578734424,0.9424416473176096,0.9585949585949585
4,0.9359898006686734,0.02790289444953518,0.948284772255388,0.005207626323197981,0.33220782279968264,0.007752691793617103,0.019356298446655273,0.0017442493922383826,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.9036702841116937,0.9553131026083426,0.9619277108433735,0.9472536687631027,0.9744382937154021,0.9393592445489178,0.9103881278538812,0.9505182535198422,0.9295245868190165,0.9489795918367346
4,0.9359898006686734,0.02790289444953518,0.948284772255388,0.005207626323197981,0.33110365867614744,0.01204836109071878,0.01838712692260742,0.0007194169339138634,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.9036702841116937,0.9553131026083426,0.9619277108433735,0.9472536687631027,0.9744382937154021,0.9393592445489178,0.9103881278538812,0.9505182535198422,0.9295245868190165,0.9489795918367346
6,0.9333677238391394,0.029563871491749324,0.9437683773336405,0.005670260585406962,0.32369208335876465,0.0028333384192442555,0.017803955078125,0.00032133133749483243,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.8970851652825274,0.9504730699381518,0.9555519832817587,0.9424168446750076,0.9744382937154021,0.9344913377918788,0.9038971638441133,0.948909771006295,0.9358660130718954,0.9425508632568695
7,0.9254656763001572,0.024151235349663874,0.927197247802545,0.0071341852359070295,0.2639301300048828,0.004563772747736014,0.018758821487426757,0.0033856700061063966,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.890470170860009,0.9375364440766438,0.9490733279613215,0.9228126150447907,0.9551520097939197,0.9165996272950377,0.9097701149425287,0.931142115657861,0.9228627579430069,0.9278954369383919
7,0.9254656763001572,0.024151235349663874,0.927197247802545,0.0071341852359070295,0.26248369216918943,0.0034875873030291295,0.01720137596130371,0.00020876992696605495,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.890470170860009,0.9375364440766438,0.9490733279613215,0.9228126150447907,0.9551520097939197,0.9165996272950377,0.9097701149425287,0.931142115657861,0.9228627579430069,0.9278954369383919
7,0.9254656763001572,0.024151235349663874,0.927197247802545,0.0071341852359070295,0.24316964149475098,0.0418142709988228,0.016912555694580077,0.00410443971275644,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.890470170860009,0.9375364440766438,0.9490733279613215,0.9228126150447907,0.9551520097939197,0.9165996272950377,0.9097701149425287,0.931142115657861,0.9228627579430069,0.9278954369383919
