rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.9373342483202449,0.009037913362913921,1.0,0.0,0.40090432167053225,0.025013055871693387,0.01791243553161621,0.0004584823222438852,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9269198828620131,1.0,0.9534944709121902,1.0,0.9331148121899362,1.0,0.9397205588822355,1.0,0.9334215167548501,1.0
2,0.9359643930226179,0.005159322020786016,0.9684283614748479,0.002578997806894796,0.3773197174072266,0.00630627945841665,0.020840167999267578,0.006850121799554974,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.9269198828620131,0.9700968762356663,0.9400394477317554,0.9700672867603404,0.9397205588822355,0.9634270791041664,0.9397205588822355,0.9684571278289004,0.9334215167548501,0.9700934374451657
3,0.9359120660169976,0.0068162194495016695,0.9543963779767269,0.0057856116733081215,0.36438841819763185,0.008334442111902677,0.01863412857055664,0.0020650615307044105,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.9267148805610343,0.9634340659340659,0.9467787114845938,0.946599585153802,0.9329246624022743,0.9500686624553694,0.9397205588822355,0.9551021192172917,0.9334215167548501,0.9567774571231058
4,0.934454156404877,0.010690944136090612,0.9398833182601807,0.002349721295661997,0.32117533683776855,0.011898085732870406,0.02040238380432129,0.004558119907928383,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.9199297629499561,0.941534757483137,0.9332748024582967,0.9397570366436537,0.9261022378431285,0.9382768046643377,0.9463397299218195,0.9365864404912705,0.9466242488511842,0.9432615520185053
5,0.9331662034124161,0.006024035614429086,0.9419340039536153,0.002894878885150049,0.32068419456481934,0.007330707507592304,0.017741918563842773,0.0002972613323316807,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.9267148805610343,0.946599585153802,0.9332748024582967,0.9381508527915696,0.9261022378431285,0.9416530266976604,0.9397205588822355,0.9399656569214512,0.9400185373173854,0.9433008982035926
5,0.9331662034124161,0.006024035614429086,0.9419340039536153,0.002894878885150049,0.3329644203186035,0.009069982781111595,0.017899751663208008,0.0003346603726166433,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.9267148805610343,0.946599585153802,0.9332748024582967,0.9381508527915696,0.9261022378431285,0.9416530266976604,0.9397205588822355,0.9399656569214512,0.9400185373173854,0.9433008982035926
7,0.9234944844803905,0.010251424345167588,0.9268727256323526,0.0035227206753255273,0.2663729667663574,0.005629391326179149,0.018910741806030272,0.0021124400375857277,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.9199297629499561,0.92955286446204,0.9332748024582967,0.9260752688172043,0.9054561717352416,0.9314015930645094,0.9327094474153297,0.921101400296403,0.9261022378431285,0.9262325015216069
7,0.9234944844803905,0.010251424345167588,0.9268727256323526,0.0035227206753255273,0.26635289192199707,0.004422929167227055,0.01809825897216797,0.00180128635308788,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.9199297629499561,0.92955286446204,0.9332748024582967,0.9260752688172043,0.9054561717352416,0.9314015930645094,0.9327094474153297,0.921101400296403,0.9261022378431285,0.9262325015216069
7,0.9234944844803905,0.010251424345167588,0.9268727256323526,0.0035227206753255273,0.24365267753601075,0.03717847579832307,0.015744876861572266,0.003229909404550141,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.9199297629499561,0.92955286446204,0.9332748024582967,0.9260752688172043,0.9054561717352416,0.9314015930645094,0.9327094474153297,0.921101400296403,0.9261022378431285,0.9262325015216069
