rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.9441643896080094,0.009905210946930415,0.9580964965250228,0.0028755628667180063,0.023021221160888672,0.0016558750443152073,0.00271458625793457,8.618301029677112e-05,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.9337979094076656,0.9617624186266347,0.9470383275261325,0.9533877784626221,0.9599681866383882,0.9568016318652395,0.9332803110639802,0.9584516022872187,0.9467372134038801,0.9600790513833992
1,0.9441643896080094,0.009905210946930415,0.9580964965250228,0.0028755628667180063,0.028514766693115236,0.004068009312171788,0.002809286117553711,0.00012983856411540384,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.9337979094076656,0.9617624186266347,0.9470383275261325,0.9533877784626221,0.9599681866383882,0.9568016318652395,0.9332803110639802,0.9584516022872187,0.9467372134038801,0.9600790513833992
1,0.9441643896080094,0.009905210946930415,0.9580964965250228,0.0028755628667180063,0.024567413330078124,0.003003270357331602,0.0027432918548583986,6.905803918296551e-05,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.9337979094076656,0.9617624186266347,0.9470383275261325,0.9533877784626221,0.9599681866383882,0.9568016318652395,0.9332803110639802,0.9584516022872187,0.9467372134038801,0.9600790513833992
4,0.9427691744528583,0.005238921940162301,0.9523590111865363,0.0033218215668802758,0.020898199081420897,0.004211244308731541,0.003112936019897461,0.0005810641545125048,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.9403531720078483,0.9533333333333334,0.9403531720078483,0.946599585153802,0.9532404335324043,0.9533974182916781,0.9398805573988056,0.9567774571231057,0.9400185373173854,0.9516872620307625
4,0.9427691744528583,0.005238921940162301,0.9523590111865363,0.0033218215668802758,0.016292285919189454,0.0006248220814413395,0.0028065204620361327,0.00021145900638769384,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.9403531720078483,0.9533333333333334,0.9403531720078483,0.946599585153802,0.9532404335324043,0.9533974182916781,0.9398805573988056,0.9567774571231057,0.9400185373173854,0.9516872620307625
4,0.9427691744528583,0.005238921940162301,0.9523590111865363,0.0033218215668802758,0.016902732849121093,0.002528535713398388,0.0029057025909423827,0.00039413429834187473,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.9403531720078483,0.9533333333333334,0.9403531720078483,0.946599585153802,0.9532404335324043,0.9533974182916781,0.9398805573988056,0.9567774571231057,0.9400185373173854,0.9516872620307625
7,0.9336199796326039,0.013787927509500296,0.9614474148546028,0.0022256690268354215,0.03921942710876465,0.004341906082864479,0.0029145240783691405,0.00018239533036975414,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.9270983213429256,0.9600897156804538,0.9208333333333334,0.9584159286925968,0.9466242488511842,0.9617964285224827,0.9201058201058202,0.9618165231613005,0.9534381745297564,0.9651184782161799
7,0.9336199796326039,0.013787927509500296,0.9614474148546028,0.0022256690268354215,0.04097690582275391,0.009404715684511601,0.0029381752014160157,0.00022379739265713527,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.9270983213429256,0.9600897156804538,0.9208333333333334,0.9584159286925968,0.9466242488511842,0.9617964285224827,0.9201058201058202,0.9618165231613005,0.9534381745297564,0.9651184782161799
7,0.9336199796326039,0.013787927509500296,0.9614474148546028,0.0022256690268354215,0.034226846694946286,0.0030924254360102077,0.0026458263397216796,0.00037118590959080486,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.9270983213429256,0.9600897156804538,0.9208333333333334,0.9584159286925968,0.9466242488511842,0.9617964285224827,0.9201058201058202,0.9618165231613005,0.9534381745297564,0.9651184782161799
