rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.9386533372685657,0.009621741244686,0.9457039803845048,0.008292886513340545,0.07961487770080566,0.008804876900193217,0.0030692100524902345,3.49604569467358e-05,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.9334733893557423,0.958320588389287,0.9270983213429256,0.9334828594674232,0.9331148121899362,0.9450584773632027,0.9463397299218195,0.9500049500049501,0.9532404335324044,0.9416530266976604
1,0.9386533372685657,0.009621741244686,0.9457039803845048,0.008292886513340545,0.0773658275604248,0.007214208804912398,0.003986167907714844,0.0018648038152046073,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.9334733893557423,0.958320588389287,0.9270983213429256,0.9334828594674232,0.9331148121899362,0.9450584773632027,0.9463397299218195,0.9500049500049501,0.9532404335324044,0.9416530266976604
1,0.9386533372685657,0.009621741244686,0.9457039803845048,0.008292886513340545,0.07245478630065919,0.009075459195000316,0.0029057979583740233,0.00046788819481903055,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.9334733893557423,0.958320588389287,0.9270983213429256,0.9334828594674232,0.9331148121899362,0.9450584773632027,0.9463397299218195,0.9500049500049501,0.9532404335324044,0.9416530266976604
4,0.9189646688692392,0.019545204972581203,0.9239732814219657,0.014412334744266538,0.1104128360748291,0.01770675492350058,0.0030603408813476562,4.7668454589062186e-05,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.913843470678003,0.9219378412731531,0.88776440950354,0.9186526720175618,0.9133601094584456,0.9270079386805365,0.9397205588822355,0.9483553490673667,0.9401347958239725,0.9039126060712098
4,0.9189646688692392,0.019545204972581203,0.9239732814219657,0.014412334744266538,0.1129180908203125,0.015987471415295867,0.0030722618103027344,8.81167458848963e-05,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.913843470678003,0.9219378412731531,0.88776440950354,0.9186526720175618,0.9133601094584456,0.9270079386805365,0.9397205588822355,0.9483553490673667,0.9401347958239725,0.9039126060712098
4,0.9189646688692392,0.019545204972581203,0.9239732814219657,0.014412334744266538,0.10865950584411621,0.016481691520429057,0.0030810356140136717,2.475120176261585e-05,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.913843470678003,0.9219378412731531,0.88776440950354,0.9186526720175618,0.9133601094584456,0.9270079386805365,0.9397205588822355,0.9483553490673667,0.9401347958239725,0.9039126060712098
7,0.755071184418914,0.028533311940580872,0.7654174259693558,0.008431905404518108,0.16763339042663575,0.013165307727498188,0.004100608825683594,0.001648223249016765,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.7625,0.7565032403262504,0.7631168831168831,0.7662883115388726,0.8006161971830986,0.7770522718539735,0.7218421052631578,0.7717900297992643,0.7272807365314304,0.7554532763284181
7,0.755071184418914,0.028533311940580872,0.7654174259693558,0.008431905404518108,0.17481060028076173,0.018191272347634502,0.0031182289123535155,1.3009355156171859e-05,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.7625,0.7565032403262504,0.7631168831168831,0.7662883115388726,0.8006161971830986,0.7770522718539735,0.7218421052631578,0.7717900297992643,0.7272807365314304,0.7554532763284181
7,0.755071184418914,0.028533311940580872,0.7654174259693558,0.008431905404518108,0.16253290176391602,0.009878109348597652,0.0030855178833007813,6.212377531930727e-05,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.7625,0.7565032403262504,0.7631168831168831,0.7662883115388726,0.8006161971830986,0.7770522718539735,0.7218421052631578,0.7717900297992643,0.7272807365314304,0.7554532763284181
