rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,1.0,0.0,1.0,0.0,8.736715030670165,0.5275961367355393,0.07735886573791503,0.004788642206443387,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.0,1.0,0.0,8.538798618316651,0.255587551101557,0.09006738662719727,0.007646871965670181,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.0,1.0,0.0,8.582851028442382,0.5173453910319853,0.0729175090789795,0.004175156946764067,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.0,1.0,0.0,9.722994089126587,0.4159631966662031,0.0779609203338623,0.003642130732431652,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.0,1.0,0.0,9.632550287246705,0.4342805816951246,0.08130083084106446,0.005240827233749441,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.0,1.0,0.0,9.13474793434143,0.9722335991022051,0.07564363479614258,0.015086353395012759,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9999587762936839,1.9433219215990434e-05,0.9999567151885073,3.503325222041396e-06,7.674638652801514,0.28285713697642056,0.07592935562133789,0.00626508014496443,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.9999725176544161,0.9999519057311403,0.9999450353097871,0.9999587763408101,0.99998625882733,0.9999553410357853,0.999958776482675,0.9999622116455058,0.9999312931942115,0.9999553411892943
7,0.9999587762936839,1.9433219215990434e-05,0.9999567151885073,3.503325222041396e-06,7.76087760925293,0.4080842226191987,0.07523908615112304,0.004170131383465732,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.9999725176544161,0.9999519057311403,0.9999450353097871,0.9999587763408101,0.99998625882733,0.9999553410357853,0.999958776482675,0.9999622116455058,0.9999312931942115,0.9999553411892943
7,0.9999587762936839,1.9433219215990434e-05,0.9999567151885073,3.503325222041396e-06,7.672057437896728,0.2724561319701808,0.07601213455200195,0.00548007728063356,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.9999725176544161,0.9999519057311403,0.9999450353097871,0.9999587763408101,0.99998625882733,0.9999553410357853,0.999958776482675,0.9999622116455058,0.9999312931942115,0.9999553411892943
